rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
4919.199999988079,{worker_id:651ebcca48c60acc82f1f2bd},id_enter,4920,object_05b.png; object_08b.png; object_07a.png; object_07c.png; object_13c.png; object_14b.png; object_11a.png; object_08c.png; object_06c.png; object_01b.png; object_06b.png; object_05a.png; object_02c.png; object_15b.png; object_07b.png,object_10b.png; object_12c.png; object_10a.png; object_04c.png; object_15a.png; object_09c.png; object_06a.png; object_09b.png; object_05c.png; object_15c.png; object_13b.png; object_11c.png; object_13a.png; object_14a.png; object_09a.png,object_03a.png; object_14c.png; object_11b.png; object_04a.png; object_04b.png; object_01a.png; object_08a.png; object_10c.png; object_03c.png; object_12a.png; object_03b.png; object_02a.png; object_02b.png; object_12b.png; object_01c.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/8/2025, 7:56:00 PM,2025-05-08 23:56:00.691,,,,,,,,,,,,,,,,,,,,,,,,,,,
7833.400000035763,,make_fullscreen,12759,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
4989.599999964237,,instruct_1,17751,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
7130.100000023842,,instruct_2,24883,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
5156.099999964237,,instruct_3,30041,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
15275.599999964237,,instruct_4,45318,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
9769.899999976158,,instruct_5,55089,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3537.599999964237,,instruct_6,58628,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
20445.69999998808,,instruct_7,79076,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,79894,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,80484,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
338.69999998807907,,prac_atten_color_black,82485,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,83305,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,83891,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
100.19999998807907,,prac_atten_color_black,85896,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,86715,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
633.5999999642372,,prac_atten_color,87507,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,89510,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,90124,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
543,,prac_atten_color,91007,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,93010,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,93531,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
544.4000000357628,,prac_atten_color,94097,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,96099,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,96937,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
513.6000000238419,,prac_atten_color,97782,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,99783,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,100343,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
670.4000000357628,,prac_atten_color,101288,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,103290,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,103749,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
498.39999997615814,,prac_atten_color,104415,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,106417,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,107156,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
730.5999999642372,,prac_atten_color,107901,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,109904,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,110563,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
627,,prac_atten_color,111371,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,113374,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
5248.899999976158,,attentioncheck_feedback,118626,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,,
8980,,last_instruct,127606,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),131109,,,,,,,,black_plus_sign,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),132066,,,,,,,,green,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,132568,,,,,,,,green,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
973.5,,prac_rt_thecrossant_black,133615,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,133718,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),137222,,,,,,,,black_plus_sign,,,null,object_08b.png,object_12c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,137968,,,,,,,,blue,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,138472,,,,,,,,green,,,null,object_08b.png,object_12c.png,,,,,,,,,,,,,,,,,,,,,
1196.300000011921,,prac_rt_thecrossant_black,139694,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,139799,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),143302,,,,,,,,black_plus_sign,,,null,object_07c.png,object_04c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,144046,,,,,,,,blue,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,144550,,,,,,,,green,,,null,object_07c.png,object_04c.png,,,,,,,,,,,,,,,,,,,,,
954.5,,prac_rt_thecrossant_black,145780,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,145884,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),149389,,,,,,,,black_plus_sign,,,null,object_13c.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,150133,,,,,,,,blue,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,150635,,,,,,,,green,,,null,object_13c.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
916.5,,prac_rt_thecrossant_black,151706,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,151807,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
9412.300000011921,,instruct_dir_01,161220,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
5675.5,,instruct_dir_2,166897,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3457.900000035763,,instruct_dir_3,170356,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
5008,,instruct_dir_4,175365,,,,,,,,instruct,1,Start,,,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,175467,,,,,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
2150.2999999523163,,intro_0,177618,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
4406.099999964237,,prac_directmemory_phase,182025,,,,,,,,practice/object_04a.png,,,50,,,1,,practice/object_03a.png,practice/object_04b.png,practice/object_01b.png,practice/object_04b.png,1,1,,,,,,,,,,,,,
1737.5999999642372,,prac_directmemory_phase,183764,,,,,,,,practice/object_01a.png,,,49,,,1,,practice/object_01b.png,practice/object_02b.png,practice/object_04a.png,practice/object_01b.png,1,1,,,,,,,,,,,,,
3262.399999976158,,prac_directmemory_phase,187028,,,,,,,,practice/object_02a.png,,,50,,,1,,practice/object_01a.png,practice/object_02b.png,practice/object_04b.png,practice/object_02b.png,1,1,,,,,,,,,,,,,
3402.100000023842,,prac_directmemory_phase,190431,,,,,,,,practice/object_03a.png,,,51,,,0,,practice/object_03b.png,practice/object_02b.png,practice/object_02a.png,practice/object_03b.png,0,0.75,,,,,,,,,,,,,
6368.100000023842,,practice_feedback,196801,,,,,,,,practice_feedback,1,,,,,,,,,,,,,,,,,,,,,,,,,
7748.199999988079,,proceed_actualTask,204550,,,,,,,,proceed_actualTask,1,Continue,,,,,,,,,,,,,,,,,,,,,,,,
7533.900000035763,,last_inst,212084,,,,,,,,last_inst,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,215585,,,,,,,,black_plus_sign,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,216329,,,,,,,,blue,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,216831,,,,,,,,blue,,,null,object_15c.png,object_01b.png,,,,,,,,,,,,,,,,,,,,,
1574.1000000238419,,rt_thecrossant_black1,218092,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,218194,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,221700,,,,,,,,black_plus_sign,,,null,object_08b.png,object_12c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,222426,,,,,,,,green,,,null,object_08b.png,object_12c.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,222927,,,,,,,,green,,,null,object_08b.png,object_12c.png,,,,,,,,,,,,,,,,,,,,,
955.5,,rt_thecrossant_black1,224211,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,224324,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,227826,,,,,,,,black_plus_sign,,,null,object_07c.png,object_04c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,228237,,,,,,,,blue,,,null,object_07c.png,object_04c.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,228738,,,,,,,,blue,,,null,object_07c.png,object_04c.png,,,,,,,,,,,,,,,,,,,,,
1009,,rt_thecrossant_black1,230336,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,230438,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,233940,,,,,,,,black_plus_sign,,,null,object_13c.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,234587,,,,,,,,blue,,,null,object_13c.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
426.7000000476837,,rt_plussign_withcolor1,235089,,,,,,,,blue,,,49,object_13c.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black1,236451,,,,,,,,black_plus_sign,,,null,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,236553,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,240060,,,,,,,,black_plus_sign,,,null,object_07b.png,object_09a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,241054,,,,,,,,green,,,null,object_07b.png,object_09a.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,241556,,,,,,,,green,,,null,object_07b.png,object_09a.png,,,,,,,,,,,,,,,,,,,,,
835.2999999523163,,rt_thecrossant_black1,242571,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,242672,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,246174,,,,,,,,black_plus_sign,,,null,object_15b.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,247099,,,,,,,,green,,,null,object_15b.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,
418.30000001192093,,rt_plussign_withcolor1,247602,,,,,,,,green,,,50,object_15b.png,object_14a.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black1,248680,,,,,,,,black_plus_sign,,,null,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,248785,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,252288,,,,,,,,black_plus_sign,,,null,object_13a.png,object_02c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,252812,,,,,,,,green,,,null,object_13a.png,object_02c.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,253313,,,,,,,,green,,,null,object_13a.png,object_02c.png,,,,,,,,,,,,,,,,,,,,,
1257.1000000238419,,rt_thecrossant_black1,254797,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,254899,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,258401,,,,,,,,black_plus_sign,,,null,object_09b.png,object_08c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,259194,,,,,,,,blue,,,null,object_09b.png,object_08c.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,259696,,,,,,,,blue,,,null,object_09b.png,object_08c.png,,,,,,,,,,,,,,,,,,,,,
698.6000000238419,,rt_thecrossant_black1,260907,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,261009,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,264514,,,,,,,,black_plus_sign,,,null,object_06a.png,object_11a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,265178,,,,,,,,blue,,,null,object_06a.png,object_11a.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,265683,,,,,,,,blue,,,null,object_06a.png,object_11a.png,,,,,,,,,,,,,,,,,,,,,
1307.300000011921,,rt_thecrossant_black1,267026,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,267128,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,270631,,,,,,,,black_plus_sign,,,null,object_10a.png,object_07a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,271250,,,,,,,,blue,,,null,object_10a.png,object_07a.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,271752,,,,,,,,blue,,,null,object_10a.png,object_07a.png,,,,,,,,,,,,,,,,,,,,,
861.5999999642372,,rt_thecrossant_black1,273136,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,273238,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,276741,,,,,,,,black_plus_sign,,,null,object_10b.png,object_05b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,277171,,,,,,,,green,,,null,object_10b.png,object_05b.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,277672,,,,,,,,green,,,null,object_10b.png,object_05b.png,,,,,,,,,,,,,,,,,,,,,
1247,,rt_thecrossant_black1,279247,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,279348,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,282856,,,,,,,,black_plus_sign,,,null,object_05c.png,object_06c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,283517,,,,,,,,blue,,,null,object_05c.png,object_06c.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,284019,,,,,,,,blue,,,null,object_05c.png,object_06c.png,,,,,,,,,,,,,,,,,,,,,
611.1999999880791,,rt_thecrossant_black1,285377,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,285478,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,288981,,,,,,,,black_plus_sign,,,null,object_13b.png,object_06b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,289507,,,,,,,,green,,,null,object_13b.png,object_06b.png,,,,,,,,,,,,,,,,,,,,,
472.39999997615814,,rt_plussign_withcolor1,290007,,,,,,,,green,,,50,object_13b.png,object_06b.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black1,291488,,,,,,,,black_plus_sign,,,null,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,291590,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,295096,,,,,,,,black_plus_sign,,,null,object_05a.png,object_11c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,295955,,,,,,,,blue,,,null,object_05a.png,object_11c.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,296457,,,,,,,,blue,,,null,object_05a.png,object_11c.png,,,,,,,,,,,,,,,,,,,,,
670.8000000119209,,rt_thecrossant_black1,297604,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,297707,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,301209,,,,,,,,black_plus_sign,,,null,object_09c.png,object_14b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,301999,,,,,,,,green,,,null,object_09c.png,object_14b.png,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,302502,,,,,,,,green,,,null,object_09c.png,object_14b.png,,,,,,,,,,,,,,,,,,,,,
1013.3999999761581,,rt_thecrossant_black1,303717,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,,,
null,,color_black1,303819,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,303924,,,,,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
1803.5999999642372,,intro_0,305729,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
5755.800000011921,,directmemory_phase1,311485,,,,,,,,object_05b.png,,,51,,,1,,object_15c.png,object_06b.png,object_10b.png,object_10b.png,,1,1,,,,,,,,,,,,
4814.199999988079,,directmemory_phase1,316301,,,,,,,,object_02c.png,,,49,,,1,,object_13a.png,object_06a.png,object_15b.png,object_13a.png,,1,1,,,,,,,,,,,,
2710,,directmemory_phase1,319012,,,,,,,,object_07c.png,,,51,,,1,,object_09c.png,object_11a.png,object_04c.png,object_04c.png,,1,1,,,,,,,,,,,,
9469.199999988079,,directmemory_phase1,328483,,,,,,,,object_15b.png,,,49,,,0,,object_13c.png,object_14a.png,object_15c.png,object_14a.png,,0.75,0,,,,,,,,,,,,
1745.1000000238419,,directmemory_phase1,330229,,,,,,,,object_08b.png,,,51,,,1,,object_09c.png,object_14b.png,object_12c.png,object_12c.png,,0.8,1,,,,,,,,,,,,
1857.199999988079,,directmemory_phase1,332088,,,,,,,,object_06b.png,,,49,,,1,,object_13b.png,object_12c.png,object_08b.png,object_13b.png,,0.8333333333333334,1,,,,,,,,,,,,
1792.800000011921,,directmemory_phase1,333882,,,,,,,,object_07a.png,,,49,,,1,,object_10a.png,object_13b.png,object_06b.png,object_10a.png,,0.8571428571428571,1,,,,,,,,,,,,
2151.900000035763,,directmemory_phase1,336035,,,,,,,,object_08c.png,,,49,,,1,,object_09b.png,object_04c.png,object_06b.png,object_09b.png,,0.875,1,,,,,,,,,,,,
3419.300000011921,,directmemory_phase1,339455,,,,,,,,object_13c.png,,,51,,,1,,object_11c.png,object_02c.png,object_15a.png,object_15a.png,,0.8888888888888888,1,,,,,,,,,,,,
2886.400000035763,,directmemory_phase1,342342,,,,,,,,object_07b.png,,,51,,,1,,object_09b.png,object_08b.png,object_09a.png,object_09a.png,,0.9,1,,,,,,,,,,,,
9079.099999964237,,directmemory_phase1,351423,,,,,,,,object_11a.png,,,50,,,1,,object_05a.png,object_06a.png,object_15c.png,object_06a.png,,0.9090909090909091,1,,,,,,,,,,,,
2214.099999964237,,directmemory_phase1,353638,,,,,,,,object_14b.png,,,50,,,1,,object_07a.png,object_09c.png,object_15c.png,object_09c.png,,0.9166666666666666,1,,,,,,,,,,,,
